"Teta1","Teta2","Teta3","Teta4","Sigma","Label"
"0.86402892","-0.73291798","0.76239312","0.10188416","0.093079821","1"
"0.92181336","-0.83498501","0.83775686","0.071405942","0.083582239","0"
"0.88163686","-0.72270063","0.72381269","0.11235001","0.11189004","1"
"0.90343853","-0.75674049","0.76434326","0.091317514","0.11073654","0"
"0.8840591","-0.8030179","0.87992319","0.030497064","0.11474005","1"
"0.91951255","-0.84222541","0.89115813","0.034018701","0.096351886","0"
"0.88601099","-0.77434776","0.79914792","0.088002543","0.072735542","1"
"0.95332776","-0.90685053","0.9109442","0.042892026","0.047665022","0"
"0.84757656","-0.70707229","0.75886678","0.099688927","0.080612924","1"
"0.96063403","-0.90684539","0.89090545","0.055642044","0.049233509","0"
"0.93675737","-0.85953656","0.86155117","0.0628976","0.045071774","1"
"0.89974541","-0.68327582","0.68214375","0.10075256","0.063995085","0"
"0.90898778","-0.83518587","0.85259844","0.076217782","0.060272653","1"
"0.9074188","-0.73394478","0.73365289","0.091552527","0.07265445","0"
"0.96051394","-0.85603982","0.82897621","0.06626717","0.046930823","1"
"0.87959187","-0.76488132","0.8382269","0.04674864","0.052148082","0"
"0.94307073","-0.89621861","0.93485321","0.019879451","0.040981793","1"
"0.90679843","-0.68183498","0.64623008","0.12883333","0.050378413","0"
"0.86923106","-0.74502254","0.7875992","0.087296668","0.10526824","1"
"0.95115191","-0.90330043","0.89438075","0.051151536","0.078877792","0"
"0.89374811","-0.75811632","0.76709222","0.096574242","0.061421753","1"
"0.97259091","-0.90887945","0.87939683","0.057883097","0.051507515","0"
"0.89705398","-0.79072961","0.80611373","0.085786472","0.060490555","1"
"0.91216776","-0.82490398","0.84239489","0.06918762","0.071997175","0"
"0.88269157","-0.77887323","0.81330788","0.082270522","0.080832768","1"
"0.95661825","-0.87802131","0.87048636","0.049647398","0.063805626","0"
"0.76893012","-0.73883299","0.98212571","-0.013237093","0.053666463","1"
"0.76968897","-0.60065105","0.71128074","0.12709343","0.08088761","0"
"0.85841095","-0.82530063","0.96450123","-0.0010671364","0.050982259","1"
"0.7919433","-0.60561702","0.70224782","0.12495125","0.077100113","0"
"0.86468807","-0.76701129","0.86090163","0.038522865","0.096951801","1"
"0.88449418","-0.84417839","0.90018776","0.054510877","0.1135149","0"
"0.96525162","-0.88059784","0.89020199","0.023809979","0.062879488","1"
"0.99343408","-0.91115418","0.81671304","0.098975299","0.047907206","0"
"0.86478746","-0.64382723","0.67542563","0.10002802","0.078005802","1"
"0.79846166","-0.57876449","0.77752034","0.012897065","0.076594653","0"
"0.92765067","-0.7945768","0.73697462","0.12937691","0.061723943","1"
"0.94107134","-0.82314177","0.79201859","0.09251293","0.056813487","0"
"0.87311428","-0.73398807","0.79851531","0.065745472","0.10810112","1"
"0.93332486","-0.75022567","0.69753613","0.11745758","0.089482179","0"
"0.87786067","-0.78098313","0.86911223","0.03287842","0.0776725","1"
"0.9806135","-0.95926261","0.94496485","0.034975641","0.050317685","0"
"0.91789744","-0.80390614","0.78354559","0.10660268","0.044791171","1"
"0.96408929","-0.8093892","0.76312717","0.08103962","0.061336173","0"
"0.90945711","-0.77236712","0.7408357","0.12635102","0.039126699","1"
"0.97485529","-0.7674606","0.70037988","0.092187181","0.047816527","0"
"0.91290524","-0.83772756","0.8831991","0.037960554","0.079901981","1"
"0.94680419","-0.90524272","0.93536695","0.027718031","0.072663113","0"
